ID	Startzeit	Fertigstellungszeit	E-Mail	Name	Aussprache	Aufwachsen	Lebensmittelpunkt	Alter
292	3.25.20 20:24:24	3.25.20 20:24:53	anonymous		karantäne	Thüringen	Thüringen	31-40
293	3.25.20 19:21:00	3.25.20 20:30:46	anonymous		kwarantäne	Baden-Württemberg	Baden-Württemberg	71-80
294	3.25.20 20:30:23	3.25.20 20:31:06	anonymous		karantäne	Baden-Württemberg	Hessen	18-30
295	3.25.20 20:33:22	3.25.20 20:33:42	anonymous		karantäne	Berlin	Niedersachsen	18-30
296	3.25.20 20:34:11	3.25.20 20:34:52	anonymous		karantäne	Bremen	Bremen	31-40
297	3.25.20 20:39:52	3.25.20 20:40:12	anonymous		karantäne	Bremen	Bremen	41-50
298	3.25.20 20:52:25	3.25.20 20:52:49	anonymous		karantäne	Schleswig-Holstein	Schleswig-Holstein	18-30
299	3.25.20 20:56:00	3.25.20 20:56:30	anonymous		kwarantäne	Bayern	Bayern	18-30
300	3.25.20 20:58:48	3.25.20 20:59:21	anonymous		kwarantäne	Sachsen	Sachsen	31-40
301	3.25.20 21:04:18	3.25.20 21:06:22	anonymous		kwarantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
302	3.25.20 21:09:12	3.25.20 21:10:01	anonymous		karantäne	Niedersachsen	Niedersachsen	18-30
303	3.25.20 21:04:40	3.25.20 21:10:02	anonymous		karantäne	Nordrhein-Westfalen	UK	31-40
304	3.25.20 21:10:59	3.25.20 21:11:33	anonymous		karantäne	Nordrhein-Westfalen	Niederlande	31-40
305	3.25.20 21:11:02	3.25.20 21:11:34	anonymous		kwarantäne	Baden-Württemberg	Nordrhein-Westfalen	18-30
306	3.25.20 21:16:58	3.25.20 21:17:18	anonymous		karantäne	Sachsen	Sachsen	31-40
307	3.25.20 21:20:56	3.25.20 21:22:37	anonymous		kwarantäne	Sachsen	Sachsen	41-50
308	3.25.20 21:24:56	3.25.20 21:25:42	anonymous		karantäne	Sachsen	Sachsen	Unter 18
309	3.25.20 21:26:09	3.25.20 21:26:29	anonymous		karantäne	Bayern	Bayern	41-50
310	3.25.20 21:27:41	3.25.20 21:28:10	anonymous		karantäne	Berlin	Berlin	51-60
311	3.25.20 21:28:03	3.25.20 21:28:37	anonymous		karantäne	Nordrhein-Westfalen	Rheinland-Pfalz/Hessen	31-40
312	3.25.20 21:17:01	3.25.20 21:36:50	anonymous		karantäne	Bayern	Niedersachsen	18-30
313	3.25.20 21:38:51	3.25.20 21:39:30	anonymous		karantäne	Baden-Württemberg	Brandenburg	41-50
314	3.25.20 21:39:06	3.25.20 21:40:40	anonymous		karantäne	Hessen	Schweiz	31-40
315	3.25.20 21:45:13	3.25.20 21:46:02	anonymous		karantäne	Baden-Württemberg	Nordrhein-Westfalen	41-50
316	3.25.20 21:42:14	3.25.20 21:46:07	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
317	3.25.20 21:47:39	3.25.20 21:48:04	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
